term,id,name,docket_number,date_decided,date_argued,date_granted,majority_votes,decision_type,minority_votes,winning_party,vote_Neil_Gorsuch,vote_Ketanji_Brown_Jackson,"vote_John_G._Roberts,_Jr.",vote_Brett_M._Kavanaugh,vote_Elena_Kagan,vote_Sonia_Sotomayor,vote_Clarence_Thomas,vote_Amy_Coney_Barrett,"vote_Samuel_A._Alito,_Jr.",opinion_Amy_Coney_Barrett,opinion_Neil_Gorsuch,"opinion_John_G._Roberts,_Jr.",opinion_Sonia_Sotomayor,"opinion_Samuel_A._Alito,_Jr.",opinion_Clarence_Thomas,opinion_Elena_Kagan,opinion_Ketanji_Brown_Jackson,opinion_Brett_M._Kavanaugh,justia_url,description,question
2022,63492,Allen v. Milligan,21-1086,2023-06-08T13:00:00,2022-10-04T13:00:00,2022-02-07T14:00:00,5,majority opinion,4,Milligan,minority,majority,majority,majority,majority,majority,minority,minority,minority,none,none,majority,none,dissent,dissent,none,none,concurrence,https://supreme.justia.com/cases/federal/us/599/21-1086/,A case in which the Court held that Alabama’s 2021 redistricting plan for its seven seats in the U.S. House of Representatives likely violates Section 2 of the Voting Rights Act.,"<p>Does Alabama’s 2021 redistricting plan for its seven U.S. House seats violate Section 2 of the Voting Rights Act?</p>
"
2022,63494,Wilkins v. United States,21-1164,2023-03-28T13:00:00,2022-11-30T14:00:00,2022-06-06T13:00:00,6,majority opinion,3,Wilkins,majority,majority,minority,majority,majority,majority,minority,majority,minority,none,none,none,majority,none,dissent,none,none,none,https://supreme.justia.com/cases/federal/us/598/21-1164/,A case in which the Court held that the Quiet Title Act’s statute of limitations is a nonjurisdictional claim-processing rule.,"<p>Is the Quiet Title Act’s statute of limitations a jurisdictional requirement or a claim-processing rule?</p>
"
2022,63495,Bittner v. United States,21-1195,2023-02-28T14:00:00,2022-11-02T13:00:00,2022-06-21T13:00:00,5,majority opinion,4,Bittner,majority,majority,majority,majority,minority,minority,minority,minority,majority,dissent,majority,none,none,none,none,none,none,none,https://supreme.justia.com/cases/federal/us/598/21-1195/,"A case in which the Court held that a “violation” under the Bank Secrecy Act is the failure to file an annual Report of Foreign Bank and Financial Accounts (no matter the number of foreign accounts), notwithstanding the number of individual accounts that were not properly reported.","<p>Is a “violation” under the Bank Secrecy Act the failure to file an annual Report of Foreign Bank and Financial Accounts (no matter the number of foreign accounts), or is there a separate violation for each individual account that was not properly reported?</p>
"
2022,63496,"U.S., ex rel. Polansky v. Executive Health Resources",21-1052,2023-06-16T13:00:00,2022-12-06T14:00:00,2022-06-21T13:00:00,8,majority opinion,1,Executive Health Resources,majority,majority,majority,majority,majority,majority,minority,majority,majority,none,none,none,none,none,dissent,majority,none,concurrence,https://supreme.justia.com/cases/federal/us/599/21-1052/,"A case in which the Court held that when an individual brings a lawsuit on behalf of the government alleging fraud on the United States, the government has the power to dismiss the lawsuit whenever it intervenes in the case, and Federal Rule of Civil Procedure 41(a) governs that procedure.","<p>Does the government have the authority to dismiss a False Claims Act lawsuit brought by an individual on behalf of the government if it initially declined to take over the case, and if so, what standard applies?</p>
"
2022,63497,MOAC Mall Holdings LLC v. Transform Holdco LLC,21-1270,2023-04-19T13:00:00,2022-12-05T14:00:00,2022-06-21T13:00:00,9,majority opinion,0,MOAC Mall Holdings,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,none,none,none,none,majority,none,https://supreme.justia.com/cases/federal/us/598/21-1270/,A case in which the Court held that Bankruptcy Code Section 363(m) does not limit the jurisdiction of appellate courts over an order approving the sale of a debtor’s assets but instead simply limits the remedies available on appeal from such an order.,"<p>Does Bankruptcy Code Section 363(m) limit the jurisdiction of appellate courts over an order approving the sale of a debtor’s assets or instead simply limit the remedies available on appeal from such an order?</p>
"
2022,63498,Moore v. Harper,21-1271,2023-06-27T13:00:00,2022-12-07T14:00:00,2022-06-30T13:00:00,6,majority opinion,3,Harper,minority,majority,majority,majority,majority,majority,minority,majority,minority,none,none,majority,none,none,dissent,none,none,concurrence,https://supreme.justia.com/cases/federal/us/600/21-1271/,"A case in which the Court rejected the “Independent State Legislature” (ISL) theory—that only a state legislature has the power to regulate federal elections, notwithstanding state courts or constitutional constraints.","<p>Under the U.S. Constitution, does the state legislative body, independent of any constraints by state courts or other laws, have sole authority to regulate federal elections?</p>
"
2022,63499,Percoco v. United States,21-1158,2023-05-11T13:00:00,2022-11-28T14:00:00,2022-06-30T13:00:00,9,majority opinion,0,Percoco,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,concurrence,none,none,majority,none,none,none,none,https://supreme.justia.com/cases/federal/us/598/21-1158/,"A case in which the Court reversed the conviction of a private citizen who was convicted of honest-services fraud on the theory that, although he held no elected office or government employment, he had informal political or other influence over governmental decisionmaking, and thus owed a fiduciary duty to the general public.","<p>Can a private citizen who has informal political or other influence over governmental decisionmaking owe a fiduciary duty to the general public such that he can be convicted of honest-services fraud?</p>
"
2022,63500,Ciminelli v. United States,21-1170,2023-05-11T13:00:00,2022-11-28T14:00:00,2022-06-30T13:00:00,9,majority opinion,0,Ciminelli,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,none,concurrence,majority,none,none,none,https://supreme.justia.com/cases/federal/us/598/21-1170/,"A case in which the Court held the Second Circuit’s “right to control” theory of fraud, which treats the deprivation of complete and accurate information bearing on a person’s economic decision as a species of property fraud, cannot state a valid basis for liability under the federal wire fraud statute.","<p>Does the Second Circuit’s “right to control” theory of fraud state a valid basis for liability under the federal wire fraud statute?</p>
"
2022,63501,Students for Fair Admissions v. University of North Carolina,21-707,2023-06-29T13:00:00,2022-10-31T13:00:00,2022-01-24T14:00:00,6,majority opinion,3,SFFA,majority,minority,majority,majority,minority,minority,majority,majority,majority,none,concurrence,majority,dissent,none,concurrence,none,dissent,concurrence,https://supreme.justia.com/cases/federal/us/2022/21-707/,A case in which the Court overruled its decision in Grutter v. Bollinger to hold that institutions of higher education cannot use race as a factor in admissions.,"<p>May institutions of higher education use race as a factor in admissions?</p>
<p>If so, does UNC’s race-conscious admissions process violate the Fourteenth Amendment of the Constitution?</p>
"
2022,63503,United States v. Texas,22-58,2023-06-23T13:00:00,2022-11-29T14:00:00,2022-07-21T13:00:00,8,majority opinion,1,United States,majority,majority,majority,majority,majority,majority,majority,majority,minority,special concurrence,special concurrence,none,none,dissent,none,none,none,majority,https://supreme.justia.com/cases/federal/us/599/22-58/,A case in which the Court was asked to decide whether the Biden administration’s revised immigration policy violates the Administrative Procedure Act.,"<p>1. Do the state plaintiffs have Article III standing to challenge the Department of Homeland Security’s Guidelines for the Enforcement of Civil Immigration Law?</p>
<p>2. Do the Guidelines violate the Administrative Procedure Act?</p>
<p>3. Does 8 U.S.C. § 1252(f)(1) prevent the entry of an order to “hold unlawful and set aside” the guidelines under 5 U.S.C. § 706(2)?</p>
"
