term,id,name,docket_number,date_decided,date_argued,date_granted,majority_votes,decision_type,minority_votes,winning_party,vote_Neil_Gorsuch,vote_Ketanji_Brown_Jackson,"vote_John_G._Roberts,_Jr.",vote_Brett_M._Kavanaugh,vote_Elena_Kagan,vote_Sonia_Sotomayor,vote_Clarence_Thomas,vote_Amy_Coney_Barrett,"vote_Samuel_A._Alito,_Jr.",opinion_Amy_Coney_Barrett,opinion_Neil_Gorsuch,"opinion_John_G._Roberts,_Jr.",opinion_Sonia_Sotomayor,"opinion_Samuel_A._Alito,_Jr.",opinion_Clarence_Thomas,opinion_Elena_Kagan,opinion_Ketanji_Brown_Jackson,opinion_Brett_M._Kavanaugh,justia_url,description,question
2022,63538,Polselli v. Internal Revenue Service,21-1599,2023-05-18T13:00:00,2023-03-29T13:00:00,2022-12-09T14:00:00,9,majority opinion,0,IRS,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,majority,none,none,none,none,concurrence,none,https://supreme.justia.com/cases/federal/us/598/21-1599/,A case in which the Court held that the exception in I.R.C. § 7609(c)(2)(D)(i) to the notice requirements for an Internal Revenue Service summons on third-party recordkeepers applies to a summons for anyone’s records whenever the IRS thinks that person’s records might somehow help it collect a delinquent taxpayer’s liability.,"<p>Does the exception in I.R.C. § 7609(c)(2)(D)(i) to the notice requirements for an Internal Revenue Service summons on third-party recordkeepers apply to a summons for anyone’s records whenever the IRS thinks that person’s records might somehow help it collect a delinquent taxpayer’s liability?</p>
"
2022,63539,Lora v. United States,22-49,2023-06-16T13:00:00,2023-03-28T13:00:00,2022-12-09T14:00:00,9,majority opinion,0,Lora,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,none,none,none,none,majority,none,https://supreme.justia.com/cases/federal/us/599/22-49/,A case in which the Court held that a federal criminal sentencing law gives the court flexibility to decide between consecutive and concurrent sentences for a man who was convicted and sentenced for his role in a drug-trafficking-related murder.,"<p>Does federal criminal sentencing law require a man who was convicted and sentenced for his role in a drug-trafficking-related murder to serve consecutive, rather than concurrent, sentences?</p>
"
2022,63540,Arizona v. Mayorkas,22-592,2023-05-18T13:00:00,,2022-12-27T14:00:00,0,,0,,,,,,,,,,,,,,,,,,,,https://supreme.justia.com/cases/federal/us/2022/22-592/,A case in which the Court was asked to decide whether the State applicants may intervene to challenge the district court’s summary judgment order directing the Biden administration to end a Trump-era border policy that allows immigration officials to quickly turn away migrants seeking asylum.,"<p>May the State applicants intervene in this case to challenge the district court’s order directing the Biden administration to end the policy of barring entry of individuals into the United States to protect the public from contagious diseases?</p>
"
2022,63546,U.S. ex rel. Schutte v. SuperValu Inc.,21-1326,2023-06-01T13:00:00,2023-04-18T13:00:00,2023-01-13T14:00:00,9,majority opinion,0,Schutte,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,none,none,majority,none,none,none,https://supreme.justia.com/cases/federal/us/598/21-1326/,"A case in which the Court held the scienter element of a claim under the False Claims Act pertains to the defendant’s contemporaneous subjective understanding or beliefs about the lawfulness of its conduct, not the objective reasonableness of such belief. ","<p>Is a defendant’s contemporaneous subjective understanding about the lawfulness of its conduct relevant to whether it “knowingly” violated the False Claims Act?</p>
"
2022,63547,Pugin v. Garland,22-23,2023-06-22T13:00:00,2023-04-17T13:00:00,2023-01-13T14:00:00,6,majority opinion,3,Garland,minority,majority,majority,majority,minority,minority,majority,majority,majority,none,none,none,dissent,none,none,none,concurrence,majority,https://supreme.justia.com/cases/federal/us/599/22-23/,A case in which the Court held that Virginia’s offense of accessory after the fact to a felony is an offense relating to obstruction of justice under the Immigration and Nationality Act.,"<p>Is Virginia’s offense of accessory after the fact to a felony an “offense relating to obstruction of justice” under the Immigration and Nationality Act?</p>
"
2022,63548,Counterman v. Colorado,22-138,2023-06-27T13:00:00,2023-04-19T13:00:00,2023-01-13T14:00:00,7,majority opinion,2,Counterman,majority,majority,majority,majority,majority,majority,minority,minority,majority,dissent,none,none,concurrence,none,dissent,majority,none,none,https://supreme.justia.com/cases/federal/us/600/22-138/,"A case in which the Court held that, to establish that a statement is a ""true threat"" unprotected by the First Amendment, the government must show that the speaker subjectively knew or intended the threatening nature of the statement.","<p>To establish that a statement is a ""true threat"" unprotected by the First Amendment, must the government show that the speaker subjectively knew or intended the threatening nature of the statement?</p>
"
2022,63549,"Tyler v. Hennepin County, Minnesota",22-166,2023-05-25T13:00:00,2023-04-26T13:00:00,2023-01-13T14:00:00,9,majority opinion,0,Tyler,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,concurrence,majority,none,none,none,none,none,none,https://supreme.justia.com/cases/federal/us/598/22-166/,"A case in which the Court held that taking and selling a home to satisfy a debt to the government, and keeping the surplus value as a windfall, violates the Fifth Amendment’s Takings Clause.","<p>1. Does taking and selling a home to satisfy a debt to the government, and keeping the surplus value as a windfall, violate the Fifth Amendment’s Takings Clause?</p>
<p>2. Is the forfeiture of property worth far more than needed to satisfy a debt a fine within the meaning of the Eighth Amendment?</p>
"
2022,63550,Groff v. DeJoy,22-174,2023-06-29T13:00:00,2023-04-18T13:00:00,2023-01-13T14:00:00,9,majority opinion,0,Groff,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,concurrence,majority,none,none,none,none,https://supreme.justia.com/cases/federal/us/600/22-174/,A case in which the Court held that Title VII requires an employer that denies a religious accommodation to show that the burden of granting an accommodation would result in substantial increased costs in relation to the conduct of its particular business.,"<p>Is inconvenience to coworkers an “undue burden” under Title VII of the Civil Rights Act of 1964 such that it excuses an employer from providing an accommodation requested for religious exercise?</p>
"
2022,63551,Dupree v. Younger,22-210,2023-05-25T13:00:00,2023-04-24T13:00:00,2023-01-13T14:00:00,9,majority opinion,0,Dupree,majority,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,none,none,none,none,none,https://supreme.justia.com/cases/federal/us/598/22-210/,A case in which the Court held that a party need not reassert in a post-trial motion a purely legal issue rejected at summary judgment in order to preserve it for appeal.,"<p>To preserve the issue for appellate review, must a party reassert in a post-trial motion a purely legal issue rejected at summary judgment?</p>
"
2022,63552,Lac du Flambeau Band of Lake Superior Chippewa Indians v. Coughlin,22-227,2023-06-15T13:00:00,2023-04-24T13:00:00,2023-01-13T14:00:00,8,majority opinion,1,Coughlin,minority,majority,majority,majority,majority,majority,majority,majority,majority,none,dissent,none,none,none,special concurrence,none,majority,none,https://supreme.justia.com/cases/federal/us/599/22-227/,A case in which the Court held the Bankruptcy Code unequivocally expresses Congress’s intent to abrogate the sovereign immunity of Native American tribes.,"<p>Does the Bankruptcy Code unequivocally abrogate tribal sovereign immunity?</p>
"
2022,63553,Yegiazaryan v. Smagin,22-381,2023-06-22T13:00:00,2023-04-25T13:00:00,2023-01-13T14:00:00,6,majority opinion,3,Smagin,minority,majority,majority,majority,majority,majority,minority,majority,minority,none,none,none,majority,dissent,none,none,none,none,https://supreme.justia.com/cases/federal/us/599/22-381/,A case in which the Court held that a foreign plaintiff with no alleged connection to the United States can state a cognizable claim under the Racketeer Influenced and Corrupt Organizations (RICO) Act if the circumstances surrounding the injury indicate it arose in the United States.,"<p>Does a foreign plaintiff with no alleged connection to the United States state a cognizable claim under the Racketeer Influenced and Corrupt Organizations (RICO) Act when it suffers an injury to an intangible property?</p>
"
2022,63555,Department of Education v. Brown,22-535,2023-06-30T13:00:00,2023-02-28T14:00:00,2022-12-12T14:00:00,9,majority opinion,0,Department of Education,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,none,majority,none,none,none,none,https://supreme.justia.com/cases/federal/us/600/22-535/,A case in which the Court was asked to consider a challenge to the Biden administration’s student loan forgiveness plan.,"<p>Do these two student-loan borrowers have Article III standing to challenge the Department of Education’s Student Loan Debt Relief Plan?</p>
<p>Is the Plan an unconstitutional exercise of legislative power by the Secretary of the Department of Education?</p>
"
2022,63558,New York v. New Jersey,156-orig,2023-04-18T13:00:00,2023-03-01T14:00:00,,9,majority opinion,0,New Jersey,majority,majority,majority,majority,majority,majority,majority,majority,majority,none,none,none,none,none,none,none,none,majority,https://supreme.justia.com/cases/federal/us/2022/156-orig/,A case in which the Court held that New Jersey can unilaterally withdraw from an interstate compact with New York that created a waterfront commission with police power.,"<p>May New Jersey unilaterally withdraw from the Waterfront Commission Compact with New York?</p>
"
2022,63582,Calcutt v. Federal Deposit Insurance Corporation,22-714,2023-05-22T13:00:00,,2023-05-22T13:00:00,0,per curiam,0,Calcutt,,,,,,,,,,,,,,,,,,,https://supreme.justia.com/cases/federal/us/598/22-714/,A case in which the Court held that the Sixth Circuit erred by conducting its own review of the record and affirming the FDIC’s sanctions against petitioner based on a legal rationale different from the one adopted by the FDIC.,"<p>When an agency commits legal errors may the reviewing court apply the correct legal rules to the record in the first instance?</p>
"
