county_name,median_income,population,bachelors_degree,labor_force,median_rent,commute_time,owner_occupied,renter_occupied,state_fips,county_fips
"Winnebago County, Iowa",62853.0,10704.0,1413.0,675.0,669.0,4985.0,3400.0,1111.0,19,189
"Winneshiek County, Iowa",67770.0,20050.0,2629.0,1583.0,763.0,9592.0,6282.0,1936.0,19,191
"Woodbury County, Iowa",68399.0,105526.0,10689.0,6280.0,913.0,49593.0,27480.0,12819.0,19,193
"Worth County, Iowa",69897.0,7417.0,732.0,285.0,685.0,3551.0,2466.0,724.0,19,195
"Wright County, Iowa",58240.0,12897.0,1474.0,555.0,731.0,5315.0,3981.0,1392.0,19,197
"Allen County, Kansas",55059.0,12554.0,1053.0,816.0,703.0,5395.0,3626.0,1355.0,20,001
"Anderson County, Kansas",67651.0,7799.0,472.0,446.0,778.0,3149.0,2478.0,687.0,20,003
"Atchison County, Kansas",55281.0,16309.0,1331.0,1468.0,771.0,7116.0,4099.0,1741.0,20,005
"Barber County, Kansas",53774.0,4081.0,511.0,181.0,695.0,1856.0,1430.0,341.0,20,007
"Barton County, Kansas",54634.0,25477.0,2657.0,1341.0,738.0,11322.0,6773.0,3282.0,20,009
"Bourbon County, Kansas",55826.0,14405.0,1464.0,769.0,774.0,5781.0,4174.0,1701.0,20,011
"Brown County, Kansas",55876.0,9486.0,964.0,495.0,662.0,4150.0,2659.0,1005.0,20,013
"Butler County, Kansas",77724.0,67618.0,9268.0,3937.0,963.0,29236.0,19351.0,5409.0,20,015
"Chase County, Kansas",52481.0,2570.0,374.0,123.0,602.0,1066.0,773.0,292.0,20,017
"Chautauqua County, Kansas",51210.0,3389.0,278.0,117.0,740.0,1229.0,1076.0,247.0,20,019
"Cherokee County, Kansas",53382.0,19380.0,1750.0,966.0,743.0,8243.0,5386.0,2147.0,20,021
"Cheyenne County, Kansas",52730.0,2619.0,327.0,147.0,673.0,1081.0,955.0,252.0,20,023
"Clark County, Kansas",58287.0,1977.0,287.0,92.0,798.0,861.0,595.0,212.0,20,025
"Clay County, Kansas",57765.0,8088.0,1005.0,321.0,750.0,3572.0,2549.0,1021.0,20,027
"Cloud County, Kansas",51197.0,9008.0,860.0,476.0,713.0,3925.0,2598.0,1079.0,20,029
"Coffey County, Kansas",67645.0,8334.0,907.0,479.0,813.0,3692.0,2676.0,867.0,20,031
"Comanche County, Kansas",49754.0,1825.0,222.0,97.0,635.0,791.0,609.0,218.0,20,033
"Cowley County, Kansas",55726.0,34661.0,3620.0,2186.0,776.0,14408.0,9274.0,3817.0,20,035
"Crawford County, Kansas",49779.0,39012.0,4567.0,3000.0,821.0,18387.0,9276.0,6530.0,20,037
"Decatur County, Kansas",49412.0,2771.0,444.0,81.0,700.0,1059.0,1066.0,258.0,20,039
"Dickinson County, Kansas",62971.0,18492.0,2186.0,862.0,755.0,8063.0,5941.0,1962.0,20,041
"Doniphan County, Kansas",66358.0,7501.0,543.0,725.0,733.0,3405.0,2190.0,545.0,20,043
"Douglas County, Kansas",66153.0,119094.0,20252.0,9526.0,1041.0,58033.0,25004.0,24601.0,20,045
"Edwards County, Kansas",52750.0,2849.0,280.0,133.0,715.0,1206.0,963.0,262.0,20,047
"Elk County, Kansas",50000.0,2453.0,225.0,102.0,554.0,894.0,799.0,229.0,20,049
"Ellis County, Kansas",59665.0,28921.0,4187.0,2247.0,864.0,15536.0,7335.0,4623.0,20,051
"Ellsworth County, Kansas",59844.0,6374.0,666.0,266.0,675.0,2414.0,1877.0,428.0,20,053
"Finney County, Kansas",68481.0,38187.0,2784.0,2608.0,964.0,17770.0,8474.0,4547.0,20,055
"Ford County, Kansas",67997.0,34212.0,2581.0,2080.0,948.0,16537.0,7511.0,4165.0,20,057
"Franklin County, Kansas",68217.0,25968.0,2586.0,1637.0,882.0,11624.0,7479.0,2706.0,20,059
"Geary County, Kansas",57992.0,36247.0,2830.0,1691.0,1132.0,17052.0,5813.0,7699.0,20,061
"Gove County, Kansas",59417.0,2758.0,287.0,122.0,726.0,1157.0,924.0,258.0,20,063
"Graham County, Kansas",47071.0,2430.0,323.0,92.0,696.0,1049.0,977.0,223.0,20,065
"Grant County, Kansas",84808.0,7336.0,585.0,567.0,676.0,3389.0,1846.0,574.0,20,067
"Gray County, Kansas",74500.0,5719.0,622.0,421.0,802.0,2751.0,1651.0,403.0,20,069
"Greeley County, Kansas",69948.0,1279.0,147.0,84.0,749.0,581.0,412.0,141.0,20,071
"Greenwood County, Kansas",51812.0,6001.0,455.0,271.0,663.0,2668.0,2056.0,528.0,20,073
"Hamilton County, Kansas",58750.0,2520.0,225.0,108.0,900.0,1094.0,555.0,161.0,20,075
"Harper County, Kansas",53032.0,5457.0,418.0,379.0,654.0,2024.0,1609.0,577.0,20,077
"Harvey County, Kansas",70685.0,33959.0,4769.0,1872.0,857.0,15260.0,9464.0,3782.0,20,079
"Haskell County, Kansas",66458.0,3735.0,237.0,185.0,713.0,1690.0,1031.0,323.0,20,081
"Hodgeman County, Kansas",63125.0,1770.0,285.0,105.0,854.0,798.0,577.0,133.0,20,083
"Jackson County, Kansas",70385.0,13274.0,1185.0,641.0,821.0,5964.0,4001.0,1181.0,20,085
"Jefferson County, Kansas",74562.0,18387.0,1980.0,989.0,832.0,8288.0,6215.0,1101.0,20,087
"Jewell County, Kansas",47109.0,2929.0,279.0,97.0,570.0,1187.0,1025.0,253.0,20,089
"Johnson County, Kansas",103644.0,610742.0,142337.0,31797.0,1312.0,271660.0,166087.0,75104.0,20,091
"Kearny County, Kansas",68750.0,3964.0,246.0,262.0,996.0,1499.0,926.0,426.0,20,093
"Kingman County, Kansas",59640.0,7369.0,922.0,308.0,832.0,3327.0,2231.0,873.0,20,095
"Kiowa County, Kansas",70347.0,2445.0,333.0,156.0,706.0,1130.0,699.0,228.0,20,097
"Labette County, Kansas",56143.0,20096.0,1983.0,936.0,723.0,8513.0,5994.0,1962.0,20,099
"Lane County, Kansas",52222.0,1528.0,109.0,81.0,575.0,707.0,522.0,150.0,20,101
"Leavenworth County, Kansas",84307.0,82050.0,11556.0,3960.0,1102.0,33193.0,19837.0,9389.0,20,103
"Lincoln County, Kansas",52540.0,2929.0,286.0,188.0,532.0,1269.0,970.0,253.0,20,105
"Linn County, Kansas",56697.0,9696.0,1013.0,416.0,763.0,3903.0,3338.0,755.0,20,107
"Logan County, Kansas",70382.0,2752.0,385.0,98.0,793.0,1277.0,774.0,435.0,20,109
"Lyon County, Kansas",56415.0,32182.0,2966.0,2051.0,763.0,15489.0,7684.0,5539.0,20,111
"McPherson County, Kansas",71250.0,30085.0,4250.0,2148.0,871.0,14532.0,9040.0,3100.0,20,113
"Marion County, Kansas",60011.0,11867.0,1512.0,814.0,680.0,5172.0,3719.0,858.0,20,115
"Marshall County, Kansas",64306.0,10014.0,937.0,452.0,671.0,4526.0,3346.0,733.0,20,117
"Meade County, Kansas",74063.0,4019.0,413.0,250.0,736.0,1872.0,1129.0,473.0,20,119
"Miami County, Kansas",85564.0,34312.0,4707.0,1838.0,1034.0,15040.0,10508.0,2731.0,20,121
"Mitchell County, Kansas",63008.0,5829.0,749.0,527.0,668.0,2485.0,1852.0,593.0,20,123
"Montgomery County, Kansas",51513.0,31448.0,2811.0,2041.0,747.0,13077.0,9204.0,3478.0,20,125
"Morris County, Kansas",52866.0,5385.0,760.0,210.0,706.0,2357.0,1876.0,412.0,20,127
"Morton County, Kansas",57943.0,2688.0,246.0,125.0,653.0,1044.0,687.0,252.0,20,129
"Nemaha County, Kansas",72788.0,10219.0,1248.0,554.0,780.0,4819.0,3069.0,917.0,20,131
"Neosho County, Kansas",54894.0,15826.0,1518.0,1064.0,623.0,6515.0,4694.0,1513.0,20,133
